ID,Month,Day,Year,Site,Sample label,Latitude,Longitude,Snow water equivalent (cm)
1,1,1,2012,BF,BF_SWE1,44.3733,-121.892,64
2,2,1,2012,BF,BF_SWE1,44.3733,-121.892,46
3,3,1,2012,BF,BF_SWE1,44.3733,-121.892,57
4,4,1,2012,BF,BF_SWE1,44.3733,-121.892,108
5,4,15,2012,BF,BF_SWE1,44.3733,-121.892,112
6,5,1,2012,BF,BF_SWE1,44.3733,-121.892,71
7,5,14,2012,BF,BF_SWE1,44.3733,-121.892,42
8,6,1,2012,BF,BF_SWE1,44.3733,-121.892,0
9,1,6,2013,BF,BF_SWE1,44.3733,-121.892,44
10,2,5,2013,BF,BF_SWE1,44.3733,-121.892,51
11,3,4,2013,BF,BF_SWE1,44.3733,-121.892,69
12,3,29,2013,BF,BF_SWE1,44.3733,-121.892,72
13,4,15,2013,BF,BF_SWE1,44.3733,-121.892,70
14,5,4,2013,BF,BF_SWE1,44.3733,-121.892,38
15,5,15,2013,BF,BF_SWE1,44.3733,-121.892,9
16,1,7,2014,BF,BF_SWE1,44.3733,-121.892,0
17,2,1,2014,BF,BF_SWE1,44.3733,-121.892,20
18,3,3,2014,BF,BF_SWE1,44.3733,-121.892,14
19,3,30,2014,BF,BF_SWE1,44.3733,-121.892,48
20,4,16,2014,BF,BF_SWE1,44.3733,-121.892,33
21,4,30,2014,BF,BF_SWE1,44.3733,-121.892,32
22,5,15,2014,BF,BF_SWE1,44.3733,-121.892,0
23,6,4,2014,BF,BF_SWE1,44.3733,-121.892,0
24,1,1,2012,BF,BF_SWE2,44.03976667,-121.8931167,53
25,2,1,2012,BF,BF_SWE2,44.03976667,-121.8931167,38
26,3,1,2012,BF,BF_SWE2,44.03976667,-121.8931167,56
27,4,1,2012,BF,BF_SWE2,44.03976667,-121.8931167,98
28,4,15,2012,BF,BF_SWE2,44.03976667,-121.8931167,70
29,5,1,2012,BF,BF_SWE2,44.03976667,-121.8931167,58
30,5,14,2012,BF,BF_SWE2,44.03976667,-121.8931167,30
31,6,1,2012,BF,BF_SWE2,44.03976667,-121.8931167,0
32,1,6,2013,BF,BF_SWE2,44.03976667,-121.8931167,50
33,2,5,2013,BF,BF_SWE2,44.03976667,-121.8931167,61
34,3,4,2013,BF,BF_SWE2,44.03976667,-121.8931167,72
35,3,29,2013,BF,BF_SWE2,44.03976667,-121.8931167,70
36,4,15,2013,BF,BF_SWE2,44.03976667,-121.8931167,52
37,5,4,2013,BF,BF_SWE2,44.03976667,-121.8931167,13
38,5,15,2013,BF,BF_SWE2,44.03976667,-121.8931167,0
39,1,7,2014,BF,BF_SWE2,44.03976667,-121.8931167,0
40,2,1,2014,BF,BF_SWE2,44.03976667,-121.8931167,15
41,3,3,2014,BF,BF_SWE2,44.03976667,-121.8931167,44
42,3,30,2014,BF,BF_SWE2,44.03976667,-121.8931167,39
43,4,16,2014,BF,BF_SWE2,44.03976667,-121.8931167,28
44,4,30,2014,BF,BF_SWE2,44.03976667,-121.8931167,20
45,5,15,2014,BF,BF_SWE2,44.03976667,-121.8931167,0
46,6,4,2014,BF,BF_SWE2,44.03976667,-121.8931167,0
47,1,1,2012,BF,BF_SWE3,44.3729,-121.8942833,48
48,2,1,2012,BF,BF_SWE3,44.3729,-121.8942833,41
49,3,1,2012,BF,BF_SWE3,44.3729,-121.8942833,61
50,4,1,2012,BF,BF_SWE3,44.3729,-121.8942833,103
51,4,15,2012,BF,BF_SWE3,44.3729,-121.8942833,98
52,5,1,2012,BF,BF_SWE3,44.3729,-121.8942833,58
53,5,14,2012,BF,BF_SWE3,44.3729,-121.8942833,38
54,6,1,2012,BF,BF_SWE3,44.3729,-121.8942833,0
55,1,6,2013,BF,BF_SWE3,44.3729,-121.8942833,52
56,2,5,2013,BF,BF_SWE3,44.3729,-121.8942833,46
57,3,4,2013,BF,BF_SWE3,44.3729,-121.8942833,76
58,3,29,2013,BF,BF_SWE3,44.3729,-121.8942833,67
59,4,15,2013,BF,BF_SWE3,44.3729,-121.8942833,52
60,5,4,2013,BF,BF_SWE3,44.3729,-121.8942833,36
61,5,15,2013,BF,BF_SWE3,44.3729,-121.8942833,0
62,1,7,2014,BF,BF_SWE3,44.3729,-121.8942833,0
63,2,1,2014,BF,BF_SWE3,44.3729,-121.8942833,20
64,3,3,2014,BF,BF_SWE3,44.3729,-121.8942833,44
65,3,30,2014,BF,BF_SWE3,44.3729,-121.8942833,44
66,4,16,2014,BF,BF_SWE3,44.3729,-121.8942833,36
67,4,30,2014,BF,BF_SWE3,44.3729,-121.8942833,23
68,5,15,2014,BF,BF_SWE3,44.3729,-121.8942833,0
69,6,4,2014,BF,BF_SWE3,44.3729,-121.8942833,0
70,1,1,2012,BF,BF_SWE4,44.03928333,-121.8954667,0
71,2,1,2012,BF,BF_SWE4,44.03928333,-121.8954667,38
72,3,1,2012,BF,BF_SWE4,44.03928333,-121.8954667,56
73,4,1,2012,BF,BF_SWE4,44.03928333,-121.8954667,93
74,4,15,2012,BF,BF_SWE4,44.03928333,-121.8954667,110
75,5,1,2012,BF,BF_SWE4,44.03928333,-121.8954667,69
76,5,14,2012,BF,BF_SWE4,44.03928333,-121.8954667,50
77,6,1,2012,BF,BF_SWE4,44.03928333,-121.8954667,0
78,1,6,2013,BF,BF_SWE4,44.03928333,-121.8954667,39
79,2,5,2013,BF,BF_SWE4,44.03928333,-121.8954667,58
80,3,4,2013,BF,BF_SWE4,44.03928333,-121.8954667,72
81,3,29,2013,BF,BF_SWE4,44.03928333,-121.8954667,70
82,4,15,2013,BF,BF_SWE4,44.03928333,-121.8954667,52
83,5,4,2013,BF,BF_SWE4,44.03928333,-121.8954667,30
84,5,15,2013,BF,BF_SWE4,44.03928333,-121.8954667,0
85,1,7,2014,BF,BF_SWE4,44.03928333,-121.8954667,0
86,2,1,2014,BF,BF_SWE4,44.03928333,-121.8954667,13
87,3,3,2014,BF,BF_SWE4,44.03928333,-121.8954667,39
88,3,30,2014,BF,BF_SWE4,44.03928333,-121.8954667,20
89,4,16,2014,BF,BF_SWE4,44.03928333,-121.8954667,9
90,4,30,2014,BF,BF_SWE4,44.03928333,-121.8954667,8
91,5,15,2014,BF,BF_SWE4,44.03928333,-121.8954667,0
92,6,4,2014,BF,BF_SWE4,44.03928333,-121.8954667,0
93,1,1,2012,BF,BF_SWE5,44.03923333,-121.8967833,0
94,2,1,2012,BF,BF_SWE5,44.03923333,-121.8967833,46
95,3,1,2012,BF,BF_SWE5,44.03923333,-121.8967833,0
96,4,1,2012,BF,BF_SWE5,44.03923333,-121.8967833,105
97,4,15,2012,BF,BF_SWE5,44.03923333,-121.8967833,110
98,5,1,2012,BF,BF_SWE5,44.03923333,-121.8967833,48
99,5,14,2012,BF,BF_SWE5,44.03923333,-121.8967833,43
100,6,1,2012,BF,BF_SWE5,44.03923333,-121.8967833,0
101,1,6,2013,BF,BF_SWE5,44.03923333,-121.8967833,44
102,2,5,2013,BF,BF_SWE5,44.03923333,-121.8967833,58
103,3,4,2013,BF,BF_SWE5,44.03923333,-121.8967833,64
104,3,29,2013,BF,BF_SWE5,44.03923333,-121.8967833,52
105,4,15,2013,BF,BF_SWE5,44.03923333,-121.8967833,55
106,5,4,2013,BF,BF_SWE5,44.03923333,-121.8967833,10
107,5,15,2013,BF,BF_SWE5,44.03923333,-121.8967833,0
108,1,7,2014,BF,BF_SWE5,44.03923333,-121.8967833,0
109,2,1,2014,BF,BF_SWE5,44.03923333,-121.8967833,13
110,3,3,2014,BF,BF_SWE5,44.03923333,-121.8967833,39
111,3,30,2014,BF,BF_SWE5,44.03923333,-121.8967833,20
112,4,16,2014,BF,BF_SWE5,44.03923333,-121.8967833,23
113,4,30,2014,BF,BF_SWE5,44.03923333,-121.8967833,9
